,Username,location,date,content,Rating
0,Connie,GB,"Nov 25, 2024","Overpriced products that have significantly dropped in qualityCoca-Cola is no longer carbonated enough and so goes flat when it's only been open a short amount of time. It's worse with the plastic bottles but still an issue with the cans. I used to drink a lot of Coke but now it always goes flat before I finish a bottle, or even a can. Lowering the quality but increasing the price to extortionate amounts is unethical and as the customer, you feel ripped off. Also the big bottles are now clearly made cheaply and are now flimsy, make them easier to spill when pouring, especially for people with motor issues. The new caps are a nightmare to get back on, again especially for disabled people but even for those without issues with their grip. Date of experience: November 25, 2024",1
1,Shelly J,US,6 days ago,"When Coca-Cola travels for business they’re too big for their britchesI used to enjoy their products, however I worked for a hotel and people from Coca-Cola came to stay for business. From walking in the door to departure, they were extremely rude including the vice president. They acted like they rented out the entire hotel instead of a few rooms. They felt entitled to request things get moved around in the communal areas multiple times and made a list for the general manager. For example, we had a Coca-Cola fridge (the hotel owns it) and they wanted us to change out the drinks displayed in there since they weren’t all Coca-Cola brand. They demanded we only hand out their branded water and have them in all the rooms during their stay (and not just their rooms. All of them!). The vice president also felt the need to violate our property rules. His assistant yelled at the security officer for doing their job asking him not to smoke his cigar in the courtyard (he insisted on doing this nightly). The next week we had a different soda brand come in for business and they did not act this way. They acted normal. Coca-Cola forgot that while they were there, they were acting under their brand. As a consumer, I have been vocal about their behavior and will support any other soda company. Date of experience is rough estimate. Date of experience: January 01, 2024",1
2,courtnee,AU,7 days ago,"Coca-ColaCoca-Cola, the world's most recognizable brand, is a prime example of how misleading marketing can mask a product's harmful effects. While it may offer a temporary burst of sweet satisfaction, the long-term consequences of its consumption are far from pleasant.Here's why you should think twice before reaching for that cold can of Coca-Cola:Sugar Bomb: A single can of Coca-Cola packs a shocking amount of added sugar, contributing to obesity, type 2 diabetes, and heart disease.Tooth Decay Nightmare: The high sugar content and acidic nature of Coca-Cola wreak havoc on your teeth, leading to cavities, erosion, and weakened enamel.Dehydration Danger: Despite its liquid form, Coca-Cola can actually dehydrate your body due to its diuretic effect.Empty Calories: Coca-Cola provides little to no nutritional value, leaving you feeling hungry and unsatisfied.Addiction Potential: The combination of sugar and caffeine in Coca-Cola can be addictive, making it difficult to break free from its grip.In conclusion, while Coca-Cola may be a nostalgic favorite for many, it's time to recognize its negative impact on our health. Opt for healthier alternatives like water, herbal tea, or fresh fruit juice to nourish your body and protect your future.Date of experience: September 11, 2024",1
3,Kerry Mcghee,GB,"Nov 18, 2024","STOP BUYINGI am sick to death of being ripped off with your massively overpriced packs of Coca Cola that longer have any fizz, after decades of drinking coke your product has got so bad I won’t be buying again. Shame on you! Date of experience: November 18, 2024",1
4,TiptreeJam,GB,"Nov 19, 2024","Fake coke colaSo sad that the traditional Coca Cola advert is no more. Rather than featuring Father Christmas with real people we have no Father Christmas and it all produced by fake A I. Thankfully there are some other businesses still celebrating the traditional Christmas.Date of experience: November 19, 2024",1
5,Augustine,NG,"Nov 19, 2024","OverpricingI love the brand and it happens to be a household thing but of lately, there have non availability of the product . The guys selling created over pricing due to none consistency of availability .Date of experience: November 19, 2024",5
6,Yaman Çağrı DORYAN,TR,A day ago,"We really miss the old Coca-ColaWe really miss the old Coca-Cola. Our throats used to burn. It was so good. Where is that old Coca-Cola now!Date of experience: December 01, 2024",5
7,Marcela Taylor,GB,"Oct 24, 2024","Cocacola personalised can discriminationCocacola and personalised cans is a shameful and direct attack on freedom of religion. You were able to add satan, Buddha. Allah etc but not the name Jesus. Now they changed and no one can add anything from their religion. There is people with that name . I drank my last can of coke and will never be purchased in my household. There is plenty of other alternatives and it only takes to get use to them, same as getting use to coffee with no sugar… easily done! Besides is much cheaper 💪🏻💪🏻💪🏻. Date of experience: October 01, 2024",1
8,Johnny Silverhand,PL,"Nov 17, 2024","Company is obsessed with getting more billions on their net worthI have no idea what they were thinking when they tried to cut out a couple millions from the budget AT THE COST OF CIVILIAN WORKERS, to send this lifeless, greedy and and no passion scrap of an ad just to make sure theyre gonna get more money in the future which theyre propably not even going to useDate of experience: November 15, 2024",1
9,Alice Villeneuve,CA,"Oct 14, 2024","The fanta beetlejuice hauted apple was…The fanta beetlejuice hauted apple was disgusting it tasted just like brown sugar but all the other one are so goodDate of experience: October 14, 2024",1
